Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C27, C28, C29, C30, C31, C32, C34, C35, C37, C38, C39, C40, C41, C42, C43, C44, C6, C7, C8, C9",0603,36,0.1uF,
"C13, C33",0603,2,10uF,
"C2, C45, C46, C47, C48",0603,5,2.2uF,
"C26, C36",0603,2,22uF,
"C3, C4",0603,2,20pF,
"J1, J2, J5, J6, J7, J8",USB-TH_XUNPU_USB-301WD-ARY,6,USB3_A_LCSC,C2895025
J3,USB_C_CONN_105450-0101_MOLEX,1,USB_C_Receptacle_Molex,C134092
J9,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
R1,0603,1,330,
"R10, R13, R14, R17",0603,4,10k,
R15,0603,1,11.8k,
R16,0603,1,3.74k,
"R18, R24, R7",0603,3,50k,
R19,0603,1,12k,
"R2, R3",0603,2,5.1k,
"R20, R21",0603,2,200k,
R22,0603,1,12.4k,
R23,0603,1,24.9k,
"R4, R5",0603,2,0,
R8,0603,1,100k,
SW1,SW-TH_K3-2235D-F1,1,K3-2235D-F1,C189615
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_1.0x1.0mm,7,TestPoint,
U1,SOT-143,1,MAX6816EUS+T,C41637
"U10, U11, U12, U13, U2, U8, U9",Texas_DPY0002A_0.6x1mm_P0.65mm,7,TPD1E05U06DPY,C2937017
U3,UQFN-10,1,TS3USB221RSER,C130085
"U4, U6",RGR20_2P05X2P05_TEX,2,TPS7A5201QRGRRQ1,C523802
U5,VQFN56_2G_MCH,1,USB5744,C633621
U7,TMLP-18_L2.8-W2.0-P0.40-BL-EP,1,FUSB340,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322525MOB4SI,C9006
