Designator,Mid X,Mid Y,Rotation,Layer
C1,138.5,-95.1,90.0,top
C10,160.725,-58.7,180.0,top
C11,160.7,-54.1,180.0,top
C12,157.125,-64.5,180.0,bottom
C13,147.0,-86.3,180.0,top
C14,145.0,-79.725,270.0,top
C15,150.1,-63.875,270.0,top
C16,149.2,-50.1,90.0,bottom
C17,148.6,-63.875,270.0,top
C18,150.7,-50.1,90.0,bottom
C19,153.5,-81.6,0.0,top
C2,169.0,-115.0,0.0,top
C20,171.075,-62.0,0.0,bottom
C21,167.2,-62.8,90.0,bottom
C22,171.6,-58.6,0.0,bottom
C23,164.9,-61.8,180.0,bottom
C24,170.875,-60.5,0.0,bottom
C25,164.8,-56.2,180.0,bottom
C26,152.6,-84.1,270.0,top
C27,164.725,-58.7,180.0,bottom
C28,165.425,-60.2,180.0,bottom
C29,169.3,-56.3,270.0,bottom
C3,161.9,-67.4,180.0,bottom
C30,170.9,-56.275,270.0,bottom
C31,171.9,-63.9,0.0,bottom
C32,168.8,-62.8,90.0,bottom
C33,145.5,-93.3,90.0,top
C34,144.0,-89.9,0.0,top
C35,153.6,-88.4,0.0,top
C36,152.1,-92.375,90.0,top
C37,172.8,-54.875,90.0,top
C38,174.4,-68.7,270.0,top
C39,171.85,-89.525,270.0,top
C4,161.9,-65.1,0.0,bottom
C40,172.7,-110.225,270.0,top
C41,174.3,-54.875,90.0,top
C42,172.8,-68.675,270.0,top
C43,170.25,-89.55,270.0,top
C44,171.1,-110.225,270.0,top
C45,142.325,-86.3,180.0,top
C46,175.9,-98.7,90.0,top
C47,176.1,-78.375,90.0,top
C48,176.7,-58.475,90.0,top
C6,153.3,-61.4,90.0,top
C7,160.725,-60.2,180.0,top
C8,160.725,-55.6,180.0,top
C9,161.8,-48.8,0.0,bottom
J1,144.0,-49.5,270.0,top
J2,144.0,-69.5,270.0,top
J3,135.25,-87.820002,270.0,top
J5,178.66,-49.5,90.0,top
J6,178.66,-69.5,90.0,top
J7,178.66,-89.5,90.0,top
J8,178.66,-109.5,90.0,top
J9,167.52,-48.83,0.0,top
R1,136.2,-95.075,270.0,top
R10,161.5,-51.7,0.0,top
R13,157.2,-62.9,180.0,top
R14,172.3,-51.725,90.0,bottom
R15,155.4,-83.2,180.0,top
R16,155.375,-84.8,0.0,top
R17,169.2,-52.75,0.0,bottom
R18,153.525,-80.0,180.0,top
R19,161.8,-63.1,180.0,bottom
R2,142.275,-92.0,0.0,top
R20,167.5,-56.3,270.0,bottom
R21,164.475,-54.0,0.0,bottom
R22,154.6,-91.9,180.0,top
R23,154.575,-90.3,0.0,top
R24,153.55,-86.5,180.0,top
R3,142.3,-88.0,0.0,top
R4,139.0,-80.9,0.0,top
R5,138.1,-79.2,0.0,top
R7,151.6,-43.8,270.0,top
R8,150.8,-46.31,180.0,top
SW1,156.1,-45.6,270.0,top
U1,161.5,-48.9,90.0,top
U10,176.85,-81.1,180.0,top
U11,174.0575,-96.5,180.0,top
U12,144.55,-59.6,0.0,top
U13,149.7,-42.35,0.0,top
U2,169.0,-113.65,180.0,top
U3,156.375,-66.875,0.0,top
U4,148.725,-83.000001,180.0,top
U5,168.3,-60.3,90.0,top
U6,148.7,-89.7,180.0,top
U7,152.1,-57.8,90.0,top
U8,143.6,-79.8,90.0,top
U9,177.0925,-60.55,180.0,top
Y1,161.9,-66.3,90.0,top
